STAT_ID,Latitude,Longitude,geometry,sc,ss,su,mt,va,vb,vi,pa,pb,pi,GLC_Artificial,GLC_Managed,GLC_Water,GLC_Aquatic_Veg,GLC_PERC_COV,Popdens_00,Soil_pH,SOC,Soil_wetness
400127,-25.86,27.61,POINT (27.61 -25.86),0.13,0.35,0.0,0.01,0.0,0.05,0.12,0.0,0.0,0.0,0.0,0.39,0.0,0.0,100.0,26.68,6.6,3.84,36.24
400132,-26.03,27.85,POINT (27.85 -26.03),0.0,0.21,0.0,0.05,0.0,0.0,0.0,0.62,0.1,0.0,0.6,0.13,0.0,0.0,100.0,790.53,6.39,3.74,54.16
400133,-26.02,28.34,POINT (28.34 -26.02),0.37,0.5,0.0,0.01,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.35,0.0078125,0.0,100.0,15.11,6.46,3.78,59.59
400134,-26.02,28.33,POINT (28.33 -26.02),0.37,0.5,0.0,0.01,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.35,0.0078125,0.0,100.0,15.11,6.46,3.78,59.59
400137,-25.6,28.0,POINT (28 -25.6),0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.83,0.0,0.23,0.16,0.0,0.0,100.0,443.65,6.54,3.69,42.55
400138,-28.5,28.83,POINT (28.83 -28.5),0.0,0.62,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.06,0.42,0.005588235,0.0,100.0,519.86,6.79,3.98,143.06
400139,-28.22,28.85,POINT (28.85 -28.22),0.0,0.83,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.02,0.61,0.001800773,0.0,100.0,235.06,6.83,3.49,108.63
400140,-28.22,28.96,POINT (28.96 -28.22),0.0,0.92,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.6,0.03,0.0,100.0,24.55,6.2,4.37,68.83
400143,-28.01,28.24,POINT (28.24 -28.01),0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.01,0.0,100.0,6.41,6.85,3.19,72.11
400145,-25.44,27.96,POINT (27.96 -25.44),0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.57,0.37,0.0,0.19,0.22,0.001329787,0.0,100.0,1013.97,6.61,3.78,32.15
400146,-32.17,26.83,POINT (26.83 -32.17),0.0,0.81,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.44,0.002971768,0.0,100.0,8.84,6.94,3.59,73.1
400147,-32.17,26.83,POINT (26.83 -32.17),0.0,0.81,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.44,0.002971768,0.0,100.0,8.84,6.94,3.59,73.1
