STAT_ID,Latitude,Longitude,geometry
400576,-33.65,21.77,POINT (21.77 -33.65)
400577,-33.47,22.54,POINT (22.54 -33.47)
400578,-33.36,22.18,POINT (22.18 -33.36)
400579,-33.42,22.24,POINT (22.24 -33.42)
400580,-33.42,22.25,POINT (22.25 -33.42)
400581,-33.54,22.97,POINT (22.97 -33.54)
400582,-33.67,22.13,POINT (22.13 -33.67)
400583,-33.46,22.0,POINT (22 -33.46)
400584,-33.46,21.96,POINT (21.96 -33.46)
400585,-33.98,21.65,POINT (21.65 -33.98)
400601,-33.97,22.54,POINT (22.54 -33.97)
400604,-33.95,22.42,POINT (22.42 -33.95)
400605,-33.94,22.61,POINT (22.61 -33.94)
400607,-33.98,22.65,POINT (22.65 -33.98)
400608,-33.97,22.8,POINT (22.8 -33.97)
400609,-33.88,22.83,POINT (22.83 -33.88)
400610,-33.91,22.7,POINT (22.7 -33.91)
400611,-33.89,23.03,POINT (23.03 -33.89)
400612,-33.8,23.13,POINT (23.13 -33.8)
400613,-33.93,23.36,POINT (23.36 -33.93)
400616,-33.82,23.18,POINT (23.18 -33.82)
400617,-33.82,23.18,POINT (23.18 -33.82)
400618,-33.82,23.18,POINT (23.18 -33.82)
400619,-33.81,23.18,POINT (23.18 -33.81)
400620,-33.81,23.17,POINT (23.17 -33.81)
400628,-33.95,23.64,POINT (23.64 -33.95)
400629,-33.98,24.02,POINT (24.02 -33.98)
400634,-33.2,24.23,POINT (24.23 -33.2)
400635,-33.73,24.61,POINT (24.61 -33.73)
400637,-33.86,23.83,POINT (23.83 -33.86)
400638,-33.73,23.3,POINT (23.3 -33.73)
400639,-33.79,24.03,POINT (24.03 -33.79)
400640,-33.91,24.95,POINT (24.95 -33.91)
400641,-33.79,25.3,POINT (25.3 -33.79)
400642,-33.77,25.38,POINT (25.38 -33.77)
400643,-32.95,24.66,POINT (24.66 -32.95)
400644,-33.09,25.01,POINT (25.01 -33.09)
400645,-33.07,25.07,POINT (25.07 -33.07)
400646,-33.1,25.22,POINT (25.22 -33.1)
400647,-33.0,25.16,POINT (25.16 -33)
400648,-33.37,25.35,POINT (25.35 -33.37)
400649,-33.58,25.67,POINT (25.67 -33.58)
400650,-33.51,25.65,POINT (25.65 -33.51)
400651,-33.32,26.07,POINT (26.07 -33.32)
400652,-33.55,26.6,POINT (26.6 -33.55)
400653,-33.5,26.74,POINT (26.74 -33.5)
400654,-31.9,25.48,POINT (25.48 -31.9)
400655,-31.55,25.54,POINT (25.54 -31.55)
400656,-31.77,25.31,POINT (25.31 -31.77)
400657,-31.9,25.43,POINT (25.43 -31.9)
400658,-32.03,25.52,POINT (25.52 -32.03)
400659,-32.08,25.57,POINT (25.57 -32.08)
400660,-32.31,25.74,POINT (25.74 -32.31)
400661,-32.33,25.72,POINT (25.72 -32.33)
400662,-32.6,25.88,POINT (25.88 -32.6)
400663,-32.77,25.83,POINT (25.83 -32.77)
400664,-33.09,25.89,POINT (25.89 -33.09)
400665,-32.78,25.61,POINT (25.61 -32.78)
400666,-32.56,25.44,POINT (25.44 -32.56)
400667,-33.09,25.95,POINT (25.95 -33.09)
400668,-33.12,26.61,POINT (26.61 -33.12)
400669,-32.71,26.29,POINT (26.29 -32.71)
400670,-33.09,26.44,POINT (26.44 -33.09)
400671,-32.7,26.57,POINT (26.57 -32.7)
400672,-33.23,26.99,POINT (26.99 -33.23)
400673,-32.55,26.67,POINT (26.67 -32.55)
400674,-32.57,26.75,POINT (26.75 -32.57)
400675,-32.76,26.62,POINT (26.62 -32.76)
400676,-32.46,26.51,POINT (26.51 -32.46)
400677,-32.64,26.93,POINT (26.93 -32.64)
400678,-33.18,27.39,POINT (27.39 -33.18)
400679,-32.71,27.1,POINT (27.1 -32.71)
400680,-32.73,27.29,POINT (27.29 -32.73)
400681,-32.87,27.37,POINT (27.37 -32.87)
400682,-32.85,27.37,POINT (27.37 -32.85)
400683,-32.76,27.37,POINT (27.37 -32.76)
400684,-32.91,27.37,POINT (27.37 -32.91)
400685,-32.94,27.46,POINT (27.46 -32.94)
400686,-32.93,27.47,POINT (27.47 -32.93)
400688,-32.99,27.61,POINT (27.61 -32.99)
400689,-32.8,27.85,POINT (27.85 -32.8)
400690,-32.9,27.81,POINT (27.81 -32.9)
400691,-31.79,27.43,POINT (27.43 -31.79)
400692,-31.51,27.33,POINT (27.33 -31.51)
400693,-32.05,26.78,POINT (26.78 -32.05)
400694,-31.92,26.78,POINT (26.78 -31.92)
400695,-32.28,26.86,POINT (26.86 -32.28)
400696,-32.21,26.73,POINT (26.73 -32.21)
400697,-32.04,27.82,POINT (27.82 -32.04)
400698,-31.78,27.67,POINT (27.67 -31.78)
400699,-32.57,27.36,POINT (27.36 -32.57)
400700,-32.51,27.52,POINT (27.52 -32.51)
400701,-32.61,27.28,POINT (27.28 -32.61)
400702,-32.57,27.56,POINT (27.56 -32.57)
400703,-32.32,28.14,POINT (28.14 -32.32)
400704,-32.51,28.01,POINT (28.01 -32.51)
400705,-31.67,28.11,POINT (28.11 -31.67)
400706,-31.91,28.44,POINT (28.44 -31.91)
400707,-31.78,28.26,POINT (28.26 -31.78)
400708,-31.92,29.13,POINT (29.13 -31.92)
400709,-30.56,29.42,POINT (29.42 -30.56)
400710,-31.03,28.88,POINT (28.88 -31.03)
400711,-31.23,28.85,POINT (28.85 -31.23)
400712,-30.85,29.07,POINT (29.07 -30.85)
400713,-30.57,29.15,POINT (29.15 -30.57)
400714,-31.07,28.35,POINT (28.35 -31.07)
400715,-31.19,28.23,POINT (28.23 -31.19)
400716,-30.62,28.48,POINT (28.48 -30.62)
400717,-30.73,29.82,POINT (29.82 -30.73)
400718,-30.4,29.9,POINT (29.9 -30.4)
400719,-29.74,29.53,POINT (29.53 -29.74)
400720,-29.77,29.47,POINT (29.47 -29.77)
400721,-30.24,29.93,POINT (29.93 -30.24)
400722,-31.49,29.52,POINT (29.52 -31.49)
400723,-31.32,29.52,POINT (29.52 -31.32)
400724,-31.55,29.24,POINT (29.24 -31.55)
400725,-29.74,29.9,POINT (29.9 -29.74)
400726,-30.16,30.69,POINT (30.69 -30.16)
400727,-29.58,30.58,POINT (30.58 -29.58)
400728,-29.38,30.27,POINT (30.27 -29.38)
400729,-29.64,30.25,POINT (30.25 -29.64)
400730,-29.43,30.48,POINT (30.48 -29.43)
400731,-29.43,30.43,POINT (30.43 -29.43)
400733,-29.66,30.63,POINT (30.63 -29.66)
400734,-29.48,30.15,POINT (30.15 -29.48)
400735,-29.4,30.36,POINT (30.36 -29.4)
400736,-29.46,30.34,POINT (30.34 -29.46)
400737,-29.44,30.33,POINT (30.33 -29.44)
400738,-29.6,30.45,POINT (30.45 -29.6)
400739,-29.65,30.68,POINT (30.68 -29.65)
400740,-29.59,30.62,POINT (30.62 -29.59)
400741,-29.55,30.18,POINT (30.18 -29.55)
400742,-29.54,30.17,POINT (30.17 -29.54)
400743,-29.54,30.12,POINT (30.12 -29.54)
400744,-29.49,30.2,POINT (30.2 -29.49)
400745,-29.59,30.62,POINT (30.62 -29.59)
400746,-29.7,30.86,POINT (30.86 -29.7)
400747,-29.64,30.78,POINT (30.78 -29.64)
400748,-29.6,31.0,POINT (31 -29.6)
400749,-29.6,31.04,POINT (31.04 -29.6)
400750,-29.16,30.62,POINT (30.62 -29.16)
400751,-29.74,30.31,POINT (30.31 -29.74)
400752,-29.8,30.51,POINT (30.51 -29.8)
400753,-29.85,30.7,POINT (30.7 -29.85)
400754,-29.85,30.7,POINT (30.7 -29.85)
400755,-29.84,30.72,POINT (30.72 -29.84)
